Designator,Mid X,Mid Y,Layer,Rotation
C1,49.0000,84.0000,Top,90.0
C2,54.0000,84.0000,Top,90.0
C3,59.0000,84.0000,Top,90.0
C4,49.0000,60.0000,Top,90.0
C5,54.0000,60.0000,Top,90.0
C6,59.0000,60.0000,Top,90.0
C7,49.0000,34.0000,Top,90.0
C8,54.0000,34.0000,Top,90.0
C9,59.0000,34.0000,Top,90.0
C10,31.0000,16.0000,Top,90.0
C11,35.0000,16.0000,Top,90.0
C12,70.0000,16.0000,Top,90.0
C13,70.0000,4.0000,Top,90.0
C14,84.0000,17.0000,Top,90.0
C15,94.0000,17.0000,Top,90.0
C16,78.0000,77.0000,Top,90.0
C17,78.0000,63.0000,Top,90.0
C18,78.0000,35.0000,Top,90.0
C19,78.0000,21.0000,Top,90.0
C20,31.5000,75.0000,Top,90.0
C21,31.5000,59.0000,Top,90.0
C22,31.5000,49.0000,Top,90.0
C23,31.5000,33.0000,Top,90.0
D1,94.0000,4.0000,Top,90.0
F1,24.0000,16.0000,Top,90.0
J1,13.0500,6.0000,Top,0.0
J2,93.0000,80.0000,Top,0.0
J3,93.0000,54.0000,Top,0.0
J4,93.0000,28.0000,Top,0.0
R1,42.0000,84.0000,Top,90.0
R2,42.0000,78.0000,Top,90.0
R3,42.0000,60.0000,Top,90.0
R4,42.0000,54.0000,Top,90.0
R5,42.0000,48.0000,Top,90.0
R6,42.0000,34.0000,Top,90.0
R7,42.0000,28.0000,Top,90.0
R8,86.0000,80.0000,Top,90.0
R9,86.0000,54.0000,Top,90.0
R10,86.0000,28.0000,Top,90.0
R11,11.8000,13.6000,Top,90.0
R12,14.8000,13.6000,Top,90.0
R13,84.0000,4.0000,Top,90.0
SW1,66.0000,47.0000,Top,0.0
U1,78.0000,70.0000,Top,0.0
U2,78.0000,28.0000,Top,0.0
U3,22.0000,67.0000,Top,0.0
U4,22.0000,41.0000,Top,0.0
U5,48.0000,9.0000,Top,0.0
U6,78.0000,11.0000,Top,0.0
U7,88.0000,11.0000,Top,0.0
