Designator,Mid X,Mid Y,Layer,Rotation
C1,43.0000,86.0000,Top,90.0
C2,49.0000,86.0000,Top,90.0
C3,55.0000,86.0000,Top,90.0
C4,43.0000,68.0000,Top,90.0
C5,49.0000,68.0000,Top,90.0
C6,55.0000,68.0000,Top,90.0
C7,43.0000,34.0000,Top,90.0
C8,49.0000,34.0000,Top,90.0
C9,55.0000,34.0000,Top,90.0
C10,30.0000,14.0000,Top,90.0
C11,34.0000,14.0000,Top,90.0
C12,59.0000,14.0000,Top,90.0
C13,59.0000,5.0000,Top,90.0
C14,81.0000,14.0000,Top,90.0
C15,82.0000,5.0000,Top,90.0
C16,65.0000,85.0000,Top,90.0
C17,65.0000,77.0000,Top,90.0
C18,65.0000,35.0000,Top,90.0
C19,65.0000,27.0000,Top,90.0
C20,22.0000,73.5000,Top,90.0
C21,22.0000,63.5000,Top,90.0
C22,22.0000,48.5000,Top,90.0
C23,22.0000,38.5000,Top,90.0
C24,58.0000,27.0000,Top,0.0
C25,43.0000,14.0000,Top,0.0
C26,64.5000,14.0000,Top,90.0
C27,76.0000,14.0000,Top,90.0
C28,64.0000,5.0000,Top,90.0
C29,76.5000,5.0000,Top,90.0
D1,83.0000,43.5000,Top,0.0
F1,24.0000,14.0000,Top,90.0
J1,13.0500,6.0000,Top,0.0
J2,93.0000,81.0000,Top,0.0
J3,93.0000,56.0000,Top,0.0
J4,93.0000,31.0000,Top,0.0
R1,35.0000,86.0000,Top,90.0
R2,35.0000,80.0000,Top,90.0
R3,35.0000,62.0000,Top,90.0
R4,35.0000,56.0000,Top,90.0
R5,35.0000,50.0000,Top,90.0
R6,35.0000,37.0000,Top,90.0
R7,35.0000,31.0000,Top,90.0
R8,85.5000,81.0000,Top,90.0
R9,85.5000,56.0000,Top,90.0
R10,85.5000,31.0000,Top,90.0
R11,11.8000,13.6000,Top,90.0
R12,14.8000,13.6000,Top,90.0
R13,70.0000,49.0000,Top,90.0
R14,70.0000,43.5000,Top,90.0
R15,70.0000,38.0000,Top,90.0
R16,58.0000,37.0000,Top,0.0
R17,58.0000,32.0000,Top,0.0
R18,43.0000,17.5000,Top,0.0
SW1,56.0000,48.0000,Top,90.0
U1,72.0000,81.0000,Top,0.0
U2,72.0000,31.0000,Top,0.0
U3,12.0000,68.5000,Top,0.0
U4,12.0000,43.5000,Top,0.0
U5,37.9200,6.0000,Top,0.0
U6,70.0000,14.0000,Top,0.0
U7,70.0000,5.0000,Top,0.0
